Дата запуска;0.0;1.0;2.0;3.0;4.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0
Дата запуска;2020-04-11 00:00:00;2020-04-12 00:00:00;2020-04-13 00:00:00;2020-04-14 00:00:00;2020-04-15 00:00:00;2020-04-17 00:00:00;2020-04-18 00:00:00;2020-04-19 00:00:00;2020-04-20 00:00:00;2020-04-21 00:00:00;2020-04-22 00:00:00;2020-04-23 00:00:00;2020-04-24 00:00:00;2020-04-25 00:00:00;2020-04-26 00:00:00;2020-04-27 00:00:00;2020-04-28 00:00:00;2020-04-29 00:00:00;2020-04-30 00:00:00;2020-05-01 00:00:00;2020-05-02 00:00:00
Номенклатура;;;;;;;;;;;;;;;;;;;;;
Блок управления светоограждением БУСО АВР М-2х220-2х48-2хФД (УЗИП II класс 40кА, IP65, УХЛ1, металл);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Болт М12-6gх100.8.8.Гл ГОСТ 7798-70;3.57755102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М12-6gх50.8.8.ГЦ ГОСТ 7798-70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24081633;0.0;0.0;0.0;0.0;0.0;0.0
Болт М14-6gх45.8.8.ГЦ ГОСТ 7798-70;27.128693879999997;0.0;0.0;0.0;0.0;1.2622449;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М14-6gх45.8.8.ГЦ ГОСТ Р ИСО 4014-2013;14.532;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М14-6gх45.8.8.Гл ГОСТ 7798-70;717.0848775699999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.43061224;17.43061224
Болт М14-6gх45.8.8.Гл ГОСТ Р ИСО 4014-2013;8.85897961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.47142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
